CleanedTweets,Tweets,Time,TimeNew,TimeChanged,PolarityScore
governor cuomo stupid motherfucker refusing distribution vaccine people,"\"Governor Cuomo of NY is a Stupid Motherfucker! He is Refusing Distribution of the CV Vaccine for the People of NY,\\u2026 https://t.co/nlYzfjkCDX\"","\"2020-11-19 15:42:54.306216\"",2020-11-19T15:42:58.794+05:30,"",Negative
ivanka trump obsessed status says former friend tell essay trump ivankatrump biden usa trumpvsbiden,"\"Ivanka Trump obsessed with status, says former friend in tell-all essay\\n\\n#Trump #IvankaTrump #Biden2020 #USA #TrumpvsBiden\"","\"2020-11-19 15:42:57.309811\"",2020-11-19T15:42:58.794+05:30,"",Positive
